shape_id,shape_len,period,speed_miles_per_minute,color
HOPPER EV 62,15615,43,363.1395349,#3180B6
HOPPER EV 63,7540,25,301.6,#3180B6
ILLINI 34,6331,23,275.2608696,#EDF7B4
ILLINI 46,3769,10,376.9,#3180B6
ILLINI 47,3971,10,397.1,#3180B6
ILLINI 845,4443,13,341.7692308,#3180B6
ILLINI 845 315,4443,13,341.7692308,#3180B6
ILLINI EV 25,3971,10,397.1,#3180B6
ILLINI LIMITED WEEKEND 845,4443,13,341.7692308,#3180B6
L1SATPO,10569,12,880.75,#82CCBB
L2SATPO,3892,10,389.2,#3180B6
LAVENDER 2,13376,32,418,#3180B6
NAVY 1,14659,31,472.8709677,#3180B6
NAVY 2,3317,9,368.5555556,#3180B6
NAVY 48,6030,12,502.5,#3180B6
NAVY 49,4824,9,536,#3180B6
NAVY 5,14969,34,440.2647059,#3180B6
NAVY 50,12531,20,626.55,#82CCBB
OD1PO,9545,15,636.3333333,#82CCBB
ORANGEHOPPER 11,4796,13,368.9230769,#3180B6
ORB4PO,10591,12,882.5833333,#82CCBB
R1SATPO,3258,5,651.6,#82CCBB
R2SATPO,3493,5,698.6,#82CCBB
R3SATPO,3844,10,384.4,#3180B6
RED 1,19593,54,362.8333333,#3180B6
RED 13,21269,62,343.0483871,#3180B6
RED 17,23299,69,337.6666667,#3180B6
RED 2,21621,62,348.7258065,#3180B6
RED 3,16940,50,338.8,#3180B6
RED 4,11364,35,324.6857143,#3180B6
RED 6,19760,52,380,#3180B6
RED 7,9803,20,490.15,#3180B6
RED 8,8016,22,364.3636364,#3180B6
RED 9,21789,53,411.1132075,#3180B6
S2PO,3844,10,384.4,#3180B6
SILVER 120,4787,15,319.1333333,#3180B6
SILVER 121,4787,15,319.1333333,#3180B6
SILVER 2,4657,14,332.6428571,#3180B6
SILVER 42,1488,5,297.6,#EDF7B4
SILVER 43,3971,10,397.1,#3180B6
SILVER LATE 30,4788,15,319.2,#3180B6
SILVER WEEKEND 31,4787,15,319.1333333,#3180B6
SILVER WEEKEND 42,1488,3,496,#3180B6
TEAL 23,3988,15,265.8666667,#EDF7B4
TEAL 24,2084,7,297.7142857,#EDF7B4
TEAL 25,3779,12,314.9166667,#3180B6
TEAL 26,3971,10,397.1,#3180B6
TEAL 27,1903,7,271.8571429,#EDF7B4
TEAL 34,4145,15,276.3333333,#EDF7B4
TEAL 35,2242,8,280.25,#EDF7B4
TEAL 45,4049,7,578.4285714,#3180B6
TEAL 98,4140,12,345,#3180B6
TEAL 99,5661,19,297.9473684,#EDF7B4
TEAL EVENING 12,5683,19,299.1052632,#EDF7B4
TEAL EVENING 13,6130,17,360.5882353,#3180B6
TEAL EVENING 14,6130,17,360.5882353,#3180B6
TEAL LATE 14,6150,17,361.7647059,#3180B6
TEAL WEEKEND 16,5683,19,299.1052632,#EDF7B4
TEAL WEEKEND 45,4049,7,578.4285714,#3180B6
YELLOW 10,9602,20,480.1,#3180B6
YELLOW 11,15007,35,428.7714286,#3180B6
YELLOW 13,8624,30,287.4666667,#EDF7B4
YELLOW 14,23631,68,347.5147059,#3180B6
YELLOW 15,971,8,121.375,#EDF7B4
YELLOW 29,8624,23,374.9565217,#3180B6
YELLOW 4,11962,27,443.037037,#3180B6
YELLOW 50,6030,12,502.5,#3180B6
YELLOW 51,11162,20,558.1,#3180B6
YELLOW 52,5254,12,437.8333333,#3180B6
YELLOW 6,10633,27,393.8148148,#3180B6
YELLOW 62,16161,36,448.9166667,#3180B6
YELLOW 7,14206,43,330.372093,#3180B6
YELLOWHOPPER 17,4034,18,224.1111111,#EDF7B4
YELLOWHOPPER 23,4603,14,328.7857143,#3180B6
YELLOWHOPPER 25,6435,18,357.5,#3180B6
YELLOWHOPPER 26,4507,17,265.1176471,#EDF7B4
[@124.0.92229742@]12E TEAL WEEKEND 13,6130,20,306.5,#3180B6
[@124.0.92229742@]12W TEAL WEEKEND 12,5683,19,299.1052632,#EDF7B4
[@124.0.92229742@]TEAL WEEKEND 16,5683,19,299.1052632,#EDF7B4
[@124.0.92229742@]TEAL WEEKEND 45,4049,10,404.9,#3180B6
[@124.0.92234822@]1,11032,22,501.4545455,#3180B6
[@124.0.92234822@]19,1439,5,287.8,#EDF7B4
[@124.0.92234822@]2,14000,23,608.6956522,#82CCBB
[@124.0.92234822@]3,9166,13,705.0769231,#82CCBB
[@124.0.92236898@]100N,25842,70,369.1714286,#3180B6
[@124.0.92236898@]100N->IT,16239,45,360.8666667,#3180B6
[@124.0.92236898@]100NGRNWRT->,11610,34,341.4705882,#3180B6
[@124.0.92236898@]100S,24831,69,359.8695652,#3180B6
[@124.0.92236898@]100S->1STGRG,11670,41,284.6341463,#EDF7B4
[@124.0.92236898@]100SPLAZA->,14162,33,429.1515152,#3180B6
[@124.0.92236898@]483,8624,28,308,#3180B6
[@124.0.92236898@]485,11670,41,284.6341463,#EDF7B4
[@124.0.92236898@]Y1SATPO,4779,8,597.375,#3180B6
[@124.0.92236898@]Y2SUNPO,3634,5,726.8,#82CCBB
[@124.0.92241454@]4,2476,10,247.6,#EDF7B4
[@124.0.92241454@]5,1465,3,488.3333333,#3180B6
[@124.0.92241454@]7,3376,10,337.6,#3180B6
[@124.0.92244155@]22N ILLINI LIMITED WEEKEND,4226,12,352.1666667,#3180B6
[@124.0.92244155@]5,4094,7,584.8571429,#3180B6
[@124.0.92244155@]ILLINI LIMITED WEEKEND 845,4443,13,341.7692308,#3180B6
[@124.0.92246230@]1,10824,22,492,#3180B6
[@124.0.92246230@]2,13874,28,495.5,#3180B6
[@124.0.92246230@]4,12243,24,510.125,#3180B6
[@124.0.92247832@]100N,25849,70,369.2714286,#3180B6
[@124.0.92247832@]100N->IT,16246,45,361.0222222,#3180B6
[@124.0.92247832@]100S,24831,69,359.8695652,#3180B6
[@124.0.92247832@]100S->1STGRG,11670,37,315.4054054,#3180B6
[@124.0.92247832@]100S->PLAZA,10669,36,296.3611111,#EDF7B4
[@124.0.92247832@]9,20974,65,322.6769231,#3180B6
[@124.0.92254999@]43,19870,42,473.0952381,#3180B6
[@124.0.92254999@]45,21721,44,493.6590909,#3180B6
[@124.0.92254999@]46,12460,27,461.4814815,#3180B6
[@124.0.92254999@]51,11002,27,407.4814815,#3180B6
[@124.0.92260187@]220N ILLINI 10,10343,34,304.2058824,#3180B6
[@124.0.92260187@]220S ILLINI 20,9655,34,283.9705882,#EDF7B4
[@124.0.92260187@]24,3769,7,538.4285714,#3180B6
[@124.0.92260187@]ILLINI EV 25,3971,10,397.1,#3180B6
[@124.0.92263401@]220N ILLINI 10,10343,34,304.2058824,#3180B6
[@124.0.92263401@]220S ILLINI 20,9655,34,283.9705882,#EDF7B4
[@124.0.92263401@]24,3769,7,538.4285714,#3180B6
[@124.0.92263401@]ILLINI EV 25,3971,10,397.1,#3180B6
[@124.0.92275054@]120E TEAL LATE 13,6150,20,307.5,#3180B6
[@124.0.92275054@]120W TEAL LATE 12,5670,19,298.4210526,#EDF7B4
[@124.0.92275054@]TEAL LATE 14,6150,17,361.7647059,#3180B6
[@124.0.92276155@]120E TEAL LATE 13,6150,20,307.5,#3180B6
[@124.0.92276155@]120W TEAL LATE 12,5670,19,298.4210526,#EDF7B4
[@124.0.92276155@]TEAL LATE 14,6150,17,361.7647059,#3180B6
[@124.0.92279199@]TEAL EVENING 12,5683,19,299.1052632,#EDF7B4
[@124.0.92279199@]TEAL EVENING 13,6130,20,306.5,#3180B6
[@124.0.92279199@]TEAL EVENING 14,6130,17,360.5882353,#3180B6
[@124.0.92281033@]130N SILVER WEEKEND 1,5788,18,321.5555556,#3180B6
[@124.0.92281033@]130N SILVER WEEKEND 2,4657,14,332.6428571,#3180B6
[@124.0.92281033@]130S SILVER WEEKEND 3,5896,17,346.8235294,#3180B6
[@124.0.92281033@]SILVER WEEKEND 31,4787,15,319.1333333,#3180B6
[@124.0.92281033@]SILVER WEEKEND 42,1488,3,496,#3180B6
