shape_id,shape_len,period
[@15.0.63191692@]370,11488,25
[@15.0.63191692@]43,9709,25
[@15.0.63191892@]26,11923,36
[@15.0.63192037@]1,13219,33
[@15.0.63192037@]3,12924,35
[@15.0.63192037@]4,14134,29
[@15.0.63192099@]7,10453,27
[@15.0.63192124@]23,3938,10
[@15.0.63192185@]43,6873,17
[@15.0.63192321@]21,12819,33
[@15.0.63192321@]25,9144,27
[@15.0.63192528@]43,12988,40
[@15.0.63192662@]3,11901,31
[@15.0.63192662@]36,3892,10
[@15.0.63192662@]4,13662,35
[@15.0.63192662@]5,8165,22
[@15.0.63192662@]604,8143,23
[@15.0.63192993@]31,14451,32
[@15.0.64600293@]1,7548,14
[@15.0.64600293@]17,1439,3
[@15.0.64600293@]2,11138,21
[@15.0.64613606@]1,10824,22
[@15.0.64613606@]2,13874,28
[@15.0.64613606@]3,3721,6
[@15.0.64613606@]4,12243,24
[@15.0.64657075@]1,11032,20
[@15.0.64657075@]19,1439,3
[@15.0.64657075@]2,14000,28
[@15.0.66063517@]6,1631,5
[@15.0.66063553@]12,9284,31.5
[@15.0.66064083@]23,12062,33
[@15.0.66064083@]71,20861,56
[@15.0.66064083@]76,3219,6
[@15.0.66064923@]3,9166,17
[@15.0.66066034@]15,21789,57
[@15.0.66066034@]53,19760,52
[@15.0.67916770@]1,1465,3
[@15.0.67916770@]2,2476,10
[@15.0.67916770@]3,3376,10
[@15.0.67924657@]4,2476,10
[@15.0.67924657@]7,3376,10
[@15.0.68508734@]48,21641,66
[@15.0.68508734@]57,8707,23
[@15.0.68508734@]58,2411,7
[@15.0.68508734@]65,22581,66
[@15.0.68508734@]66,17910,49
[@15.0.68508995@]2,20682,54
[@15.0.68508995@]404,6509,15
[@15.0.68508995@]405,14332,39
[@15.0.68511845@]30,5578,12.6667
[@15.0.68511981@]39,10993,35
[@15.0.68511981@]91,14840,47
[@15.0.68511981@]92,7457,24
[@15.0.68511981@]93,14537,40
[@15.0.68511981@]95,6359,27
[@15.0.68511981@]99,15108,41
[@15.0.68512008@]101,4507,14
[@15.0.68512037@]696,2101,7
[@15.0.68512361@]3,4009,5
[@15.0.68512430@]37,4009,5
[@15.0.68512430@]585,7153,19
[@15.0.68512636@]18,4518,11
[@15.0.68512636@]19,17271,46
[@15.0.68512808@]3,4392,11
[@15.0.68512960@]110,8544,24
