shape_id,trips_per_hour,color
ILLINI EV 25,6.0000,#82CCBB
ILLINI LIMITED WEEKEND 845,4.6154,#82CCBB
L1SATPO,5.0000,#82CCBB
L2SATPO,6.0000,#82CCBB
LAVENDER 2,1.5385,#EDF7B4
NAVY 1,1.9355,#EDF7B4
NAVY 2,6.0000,#82CCBB
NAVY 48,5.0000,#82CCBB
NAVY 49,6.6667,#82CCBB
NAVY 5,1.7647,#EDF7B4
NAVY 50,3.0000,#EDF7B4
OD1PO,4.0000,#82CCBB
ORANGEHOPPER 11,4.6154,#82CCBB
ORB4PO,5.0000,#82CCBB
R1SATPO,12.0000,#3180B6
R2SATPO,12.0000,#3180B6
R3SATPO,6.0000,#82CCBB
RED 1,1.1111,#EDF7B4
RED 13,30.0000,#3180B6
RED 17,6.6667,#82CCBB
RED 2,30.0000,#3180B6
RED 3,1.2000,#EDF7B4
RED 4,1.7143,#EDF7B4
RED 6,1.1538,#EDF7B4
RED 7,3.0000,#EDF7B4
RED 8,2.7273,#EDF7B4
RED 9,1.0526,#EDF7B4
S2PO,6.0000,#82CCBB
SILVER 120,4.0000,#82CCBB
SILVER 121,4.0000,#82CCBB
SILVER 2,4.2857,#82CCBB
SILVER 42,12.0000,#3180B6
SILVER 43,6.0000,#82CCBB
SILVER LATE 30,4.0000,#82CCBB
SILVER WEEKEND 31,4.0000,#82CCBB
SILVER WEEKEND 42,20.0000,#3180B6
TEAL 23,4.0000,#82CCBB
TEAL 24,8.5714,#3180B6
TEAL 25,5.0000,#82CCBB
TEAL 26,6.0000,#82CCBB
TEAL 27,8.5714,#3180B6
TEAL 34,4.0000,#82CCBB
TEAL 35,7.5000,#82CCBB
TEAL 45,8.5714,#3180B6
TEAL 98,5.0000,#82CCBB
TEAL 99,3.1579,#EDF7B4
TEAL EVENING 12,3.1579,#EDF7B4
TEAL EVENING 13,3.5294,#EDF7B4
TEAL EVENING 14,3.5294,#EDF7B4
TEAL LATE 14,3.5294,#EDF7B4
TEAL WEEKEND 16,3.1579,#EDF7B4
TEAL WEEKEND 45,8.5714,#3180B6
YELLOW 10,3.0000,#EDF7B4
YELLOW 11,1.6667,#EDF7B4
YELLOW 13,2.0000,#EDF7B4
YELLOW 14,7.5000,#82CCBB
YELLOW 15,7.5000,#82CCBB
YELLOW 29,2.6087,#EDF7B4
YELLOW 4,1.7647,#EDF7B4
YELLOW 50,5.0000,#82CCBB
YELLOW 51,3.0000,#EDF7B4
YELLOW 52,5.0000,#82CCBB
YELLOW 6,2.2222,#EDF7B4
YELLOW 62,1.2766,#EDF7B4
YELLOW 7,1.3953,#EDF7B4
YELLOWHOPPER 17,3.3333,#EDF7B4
YELLOWHOPPER 23,3.0000,#EDF7B4
YELLOWHOPPER 25,2.7273,#EDF7B4
YELLOWHOPPER 26,3.5294,#EDF7B4
[@124.0.92229742@]12E TEAL WEEKEND 13,3.0000,#EDF7B4
[@124.0.92229742@]12W TEAL WEEKEND 12,3.1579,#EDF7B4
[@124.0.92229742@]TEAL WEEKEND 16,3.1579,#EDF7B4
[@124.0.92229742@]TEAL WEEKEND 45,6.0000,#82CCBB
[@124.0.92234822@]1,2.7273,#EDF7B4
[@124.0.92234822@]19,12.0000,#3180B6
[@124.0.92234822@]2,2.1429,#EDF7B4
[@124.0.92234822@]3,4.6154,#82CCBB
[@124.0.92236898@]100N,6.0000,#82CCBB
[@124.0.92236898@]100N->IT,1.3333,#EDF7B4
[@124.0.92236898@]100NGRNWRT->,1.7647,#EDF7B4
[@124.0.92236898@]100S,6.6667,#82CCBB
[@124.0.92236898@]100S->1STGRG,1.4634,#EDF7B4
[@124.0.92236898@]100SPLAZA->,1.8182,#EDF7B4
[@124.0.92236898@]483,2.1429,#EDF7B4
[@124.0.92236898@]485,1.4634,#EDF7B4
[@124.0.92236898@]Y1SATPO,7.5000,#82CCBB
[@124.0.92236898@]Y2SUNPO,12.0000,#3180B6
[@124.0.92241454@]4,6.0000,#82CCBB
[@124.0.92241454@]5,20.0000,#3180B6
[@124.0.92241454@]7,6.0000,#82CCBB
