shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,area,color
[@2.0.86175868@]19,40.117003,-88.186155,119,"322.89220343695723",2,#FF7182
[@2.0.86175868@]19,40.116996,-88.186129,120,"325.23370143548664",2,#FF7182
[@2.0.86175868@]19,40.116989,-88.186103,121,"327.57327623205003",2,#FF7182
[@2.0.86175868@]19,40.116984,-88.186075,122,"330.01637997337",2,#FF7182
[@2.0.86175868@]19,40.116978,-88.186048,123,"332.40733830332516",2,#FF7182
[@2.0.86175868@]19,40.116974,-88.18602,124,"334.83009020115213",2,#FF7182
[@2.0.86175868@]19,40.116969,-88.185992,125,"337.2750357095948",2,#FF7182
[@2.0.86175868@]19,40.116966,-88.185956,126,"340.3524999448737",2,#FF7182
[@2.0.86175868@]19,40.116963,-88.185919,127,"343.5136610807169",2,#FF7182
[@2.0.86175868@]19,40.116961,-88.185882,128,"346.6662669609928",2,#FF7182
[@2.0.86175868@]19,40.116959,-88.185846,129,"349.7349426084026",2,#FF7182
[@2.0.86175868@]19,40.116959,-88.185825,130,"351.52014218673605",2,#FF7182
[@2.0.86175868@]19,40.116959,-88.185803,131,"353.3891064935559",2,#FF7182
[@2.0.86175868@]19,40.11696,-88.185782,132,"355.17682576203305",2,#FF7182
[@2.0.86175868@]19,40.11696,-88.18576,133,"357.0457900688529",2,#FF7182
[@2.0.86175868@]19,40.116961,-88.185674,134,"364.35603773341205",2,#FF7182
[@2.0.86175868@]19,40.116962,-88.18562,135,"368.94681107896423",2,#FF7182
[@2.0.86175868@]19,40.116962,-88.185566,136,"373.53660380433104",2,#FF7182
[@2.0.86175868@]19,40.116963,-88.185512,137,"378.1273771498832",2,#FF7182
[@2.0.86175868@]19,40.116963,-88.185458,138,"382.71716987525",2,#FF7182
[@2.0.86175868@]19,40.116962,-88.185437,139,"384.5074052875036",2,#FF7182
[@2.0.86175868@]19,40.116962,-88.185416,140,"386.29512455598075",2,#FF7182
[@2.0.86175868@]19,40.116962,-88.185396,141,"387.9977263255094",2,#FF7182
[@2.0.86175868@]19,40.116962,-88.185375,142,"389.78544559398654",2,#FF7182
[@2.0.86175868@]19,40.116962,-88.185354,143,"391.57316486246367",2,#FF7182
[@2.0.86175868@]19,40.116961,-88.185334,144,"393.27840837410787",2,#FF7182
[@2.0.86175868@]19,40.116961,-88.185313,145,"395.0636079524413",2,#FF7182
[@2.0.86175868@]19,40.116961,-88.185293,146,"396.76356387457565",2,#FF7182
[@2.0.86175868@]19,40.116961,-88.185251,147,"400.3327020744112",2,#FF7182
[@2.0.86175868@]19,40.11696,-88.18521,148,"403.8201908545746",2,#FF7182
[@2.0.86175868@]19,40.11696,-88.185169,149,"407.30509726579436",2,#FF7182
[@2.0.86175868@]19,40.11696,-88.185127,150,"410.8742354656299",2,#FF7182
[@2.0.86175868@]19,40.116961,-88.185101,151,"413.0872516722934",2,#FF7182
[@2.0.86175868@]19,40.116961,-88.185074,152,"415.38214803497675",2,#FF7182
