shape_id,shape_len
"[@124.0.92281033@]SILVER WEEKEND 31",4787
"[@124.0.92281033@]SILVER WEEKEND 42",1488
"[@124.0.92281033@]SILVER WEEKEND 43",3971
"[@124.0.92284627@]130N SILVER EVENING 1",5788
"[@124.0.92284627@]130N SILVER EVENING 2",4657
"[@124.0.92284627@]130S SILVER EVENING 3",5896
"[@124.0.92284627@]SILVER 121",4787
"[@124.0.92286725@]130N SILVER EVENING 1",5788
"[@124.0.92286725@]130N SILVER EVENING 2",4657
"[@124.0.92286725@]130S SILVER EVENING 3",5896
"[@124.0.92286725@]SILVER 121",4787
[@124.0.92311676@]32,15212
"[@124.0.92311676@]50E GREEN 53",8553
"[@124.0.92311676@]50W GREEN 59",15523
[@124.0.92311676@]71,20861
"[@124.0.92311676@]GREEN EV 61",5280
"[@124.0.92311676@]GREEN EVENING 39",17666
[@124.0.92319406@]1,15274
[@124.0.92319406@]20,7866
[@124.0.92319406@]4,22473
[@124.0.92319406@]7,21520
[@124.0.92319406@]9,6509
"[@124.0.92327957@]100 LATE 3",4498
"[@124.0.92327957@]100 LATE 4",7471
"[@124.0.92327957@]100 LATE 5",11485
[@124.0.92327957@]100N-LATE,4606
[@124.0.92327957@]100NLTNT->,12077
[@124.0.92327957@]100SLTNT->,11573
[@124.0.92327957@]32,10435
"[@124.0.92330667@]100 LATE 3",4498
"[@124.0.92330667@]100 LATE 4",7471
"[@124.0.92330667@]100 LATE 5",11485
[@124.0.92330667@]100NLTNT->,12077
[@124.0.92330667@]100SLTNT->,11573
[@124.0.92334988@]1,3493
[@124.0.92334988@]219,20146
[@124.0.92334988@]395,11209
[@124.0.92334988@]397,11710
[@124.0.92334988@]50E->LS,8544
[@124.0.92334988@]50E->PC,17657
[@124.0.92334988@]50W-WKND,14225
[@124.0.92334988@]50W-WKND->IT,15533
[@124.0.92334988@]GN1SUNPO,1410
[@124.0.92334988@]GN4SUNPO,7884
[@124.0.92334988@]GN5SUNPO,6454
"[@124.0.92334988@]GREEN WEEKEND 32",9113
[@124.0.92344750@]50E->50WLNIGHT,6489
[@124.0.92344750@]50E-LATE,6489
[@124.0.92344750@]50W-LATE,5055
[@124.0.92344750@]50WLTNT->,5055
[@124.0.92345918@]50E-LATE,6489
[@124.0.92345918@]50W-LATE,5055
"[@124.0.92348983@]22N 316",4226
"[@124.0.92348983@]ILLINI 845 315",4443
[@124.0.92350475@]2,2476
[@124.0.92350475@]3,3376
[@14.0.51708617@]32,14436
[@14.0.56288268@]341,3844
[@14.0.56288340@]23,28969
[@14.0.56288404@]14,9364
[@14.0.56288404@]21,2699
[@14.0.56288404@]24,4255
[@14.0.56288404@]31,1410
[@14.0.56288404@]32,3082
[@14.0.56288404@]33,8777
[@14.0.56288404@]40,29742
[@14.0.56288404@]42,25780
[@14.0.56288404@]45,6507
[@14.0.56288404@]5,25217
[@14.0.56288498@]24,3769
[@14.0.56288722@]18,3343
[@14.0.56288722@]34,8777
[@14.0.56288722@]35,3938
[@14.0.56288722@]36,7395
[@14.0.56288722@]64,4551
[@14.0.56288947@]26,12826
[@14.0.56289002@]26,5977
[@14.0.56289035@]63,4548
[@14.0.57586460@]38,7884
[@14.0.57766396@]100N,25842
[@14.0.57766396@]100NGRNWRT->,11610
[@14.0.57766396@]100NY1,21972
[@14.0.57766396@]100S,24831
[@14.0.57766396@]100S->BRWSWDFLD,16207
[@14.0.57766396@]Y1SATPO,4779
[@14.0.57766396@]Y3SATPO,8983
[@15.0.59410957@]1,9175
[@15.0.59410957@]2,10165
[@15.0.60390798@]11,19569
[@15.0.60391334@]37,7868
[@15.0.60391486@]2,5076
[@15.0.61662606@]1,26127
[@15.0.61662606@]11,26076
[@15.0.61662606@]114,4739
[@15.0.61662606@]133,17541
[@15.0.61662606@]136,6029
[@15.0.61662606@]137,6029
[@15.0.61662606@]138,17793
[@15.0.61662606@]140,7827
[@15.0.61662606@]364,25672
[@15.0.61662606@]366,25621
[@15.0.61662606@]574,27932
[@15.0.61662606@]590,12654
[@15.0.61662606@]591,14567
[@15.0.61662606@]593,6348
[@15.0.61662606@]690,8261
[@15.0.61662606@]694,8131
[@15.0.61662606@]706,7884
[@15.0.61662606@]714,4824
[@15.0.61662606@]754,7868
[@15.0.61734120@]1,7534
[@15.0.61734120@]2,5774
[@15.0.61734120@]215,20774
[@15.0.61734120@]225,15892
[@15.0.61734120@]240,26607
[@15.0.61734120@]316,14013
[@15.0.61734120@]335,5774
[@15.0.63188916@]15,4712
[@15.0.63189004@]23,24839
[@15.0.63189004@]25,15237
[@15.0.63189099@]29,6489
[@15.0.63189138@]10,16207
[@15.0.63189138@]25,15808
[@15.0.63189138@]8,13267
[@15.0.63189138@]9,20974
[@15.0.63189208@]3,1486
[@15.0.63191692@]369,23608
[@15.0.63191692@]370,11488
[@15.0.63191692@]43,9709
[@15.0.63191892@]26,11923
[@15.0.63192037@]1,13219
[@15.0.63192037@]3,12924
[@15.0.63192037@]4,14134
[@15.0.63192099@]7,10453
[@15.0.63192124@]23,3938
[@15.0.63192185@]43,6873
[@15.0.63192321@]21,12819
[@15.0.63192321@]25,9144
[@15.0.63192528@]43,12988
[@15.0.63192662@]3,11901
[@15.0.63192662@]36,3892
[@15.0.63192662@]4,13662
[@15.0.63192662@]5,8165
[@15.0.63192662@]604,8143
[@15.0.63192993@]31,14451
[@15.0.64600293@]1,7548
[@15.0.64600293@]17,1439
[@15.0.64600293@]2,11138
[@15.0.64613606@]1,10824
[@15.0.64613606@]2,13874
[@15.0.64613606@]3,3721
[@15.0.64613606@]4,12243
[@15.0.64657075@]1,11032
[@15.0.64657075@]19,1439
[@15.0.64657075@]2,14000
[@15.0.66063517@]6,1631
[@15.0.66063553@]12,9284
[@15.0.66064083@]23,12062
[@15.0.66064083@]71,20861
[@15.0.66064083@]76,3219
[@15.0.66064923@]3,9166
[@15.0.66066034@]15,21789
[@15.0.66066034@]53,19760
[@15.0.67916770@]1,1465
[@15.0.67916770@]2,2476
[@15.0.67916770@]3,3376
[@15.0.67924657@]4,2476
[@15.0.67924657@]7,3376
[@15.0.68508734@]48,21641
[@15.0.68508734@]57,8707
[@15.0.68508734@]58,2411
[@15.0.68508734@]65,22581
[@15.0.68508734@]66,17910
[@15.0.68508995@]2,20682
[@15.0.68508995@]404,6509
[@15.0.68508995@]405,14332
[@15.0.68511845@]30,5578
[@15.0.68511981@]39,10993
[@15.0.68511981@]91,14840
[@15.0.68511981@]92,7457
[@15.0.68511981@]93,14537
[@15.0.68511981@]95,6359
[@15.0.68511981@]99,15108
[@15.0.68512008@]101,4507
[@15.0.68512037@]696,2101
[@15.0.68512361@]3,4009
[@15.0.68512430@]37,4009
[@15.0.68512430@]585,7153
[@15.0.68512636@]18,4518
[@15.0.68512636@]19,17271
[@15.0.68512808@]3,4392
[@15.0.68512960@]110,8544
[@15.0.68512960@]111,12214
[@15.0.68512960@]112,4507
[@15.0.68512960@]65,12153
[@15.0.68513015@]219,20146
[@15.0.68513015@]220,12153
[@15.0.68513188@]4,9604
[@15.0.68513410@]21,6432
[@15.0.68513410@]63,4183
[@15.0.69155236@]1,9916
[@15.0.69155236@]36,5164
[@15.0.69155236@]37,7612
[@15.0.69155236@]530,10858
[@15.0.69155236@]540,12711
[@15.0.69155236@]57,5178
[@15.0.69172548@]1,22326
[@15.0.69172548@]2,21443
[@15.0.69172548@]7,4009
[@15.0.70780160@]363,2482
[@15.0.70780451@]31,15269
[@15.0.70780822@]4,11893
[@15.0.70781343@]3,12919
[@15.0.70781976@]15,18506
[@15.0.71205318@]1,3892
[@15.0.71205318@]2,9687
[@15.0.71205318@]30NIT->BB,12634
[@15.0.71205318@]30SBB->IT,12770
[@15.0.73006437@]18,9560
